Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
CCNE1,,19q12,AMP,1,58,1.70%,Yes
SOS1,,2p22.1,AMP,1,36,2.80%,Yes
MPL,,1p34.2,AMP,1,57,1.80%,Yes
ERG,,21q22.2,AMP,1,52,1.90%,Yes
KRAS,,12p12.1,AMP,2,58,3.40%,Yes
SMARCA4,,19p13.2,AMP,1,57,1.80%,Yes
DUSP4,,8p12,AMP,2,29,6.90%,Yes
AKT2,,19q13.2,AMP,4,58,6.90%,Yes
CEBPA,,19q13.11,AMP,1,55,1.80%,Yes
PLCG2,,16q23.3,HOMDEL,1,41,2.40%,Yes
U2AF1,,21q22.3,AMP,1,57,1.80%,Yes
ARAF,,Xp11.3,HOMDEL,1,57,1.80%,Yes
PARP1,,1q42.12,AMP,1,44,2.30%,Yes
RBM10,,Xp11.3,HOMDEL,1,50,2.00%,Yes
IL10,,1q32.1,AMP,1,43,2.30%,Yes
AGO2,,8q24.3,AMP,2,29,6.90%,Yes
IGF2,,11p15.5,AMP,2,51,3.90%,Yes
DNMT1,,19p13.2,AMP,1,43,2.30%,Yes
ETV6,,12p13.2,AMP,1,58,1.70%,Yes
RAD52,,12p13.33,HOMDEL,1,51,2.00%,Yes
ESR1,,6q25.1-q25.2,AMP,1,58,1.70%,Yes
HIST2H3C,,1q21.2,AMP,1,40,2.50%,Yes
EED,,11q14.2,HOMDEL,1,49,2.00%,Yes
RHPN2,,19q13.11,AMP,1,6,16.70%,No
EPHB1,,3q22.2,AMP,1,44,2.30%,Yes
CDKN1B,,12p13.1,AMP,1,58,1.70%,Yes
MYCL,,1p34.2,AMP,1,57,1.80%,Yes
XPO1,,2p15,AMP,1,57,1.80%,Yes
KMT2B,,19q13.12,AMP,1,29,3.40%,Yes
RAD52,,12p13.33,AMP,1,51,2.00%,Yes
EIF1AX,,Xp22.12,HOMDEL,1,43,2.30%,Yes
FGF23,,12p13.32,AMP,1,1,100.00%,Yes
NKX3-1,,8p21.2,AMP,2,50,4.00%,Yes
PRDM14,,8q13.3,AMP,2,29,6.90%,Yes
CDKN2C,,1p32.3,AMP,1,57,1.80%,Yes
FANCA,,16q24.3,HOMDEL,1,57,1.80%,Yes
FYN,,6q21,HOMDEL,1,40,2.50%,Yes
E2F3,,6p22.3,AMP,1,43,2.30%,Yes
IGF1R,,15q26.3,AMP,2,58,3.40%,Yes
FLCN,,17p11.2,AMP,1,57,1.80%,Yes
ICOSLG,,21q22.3,AMP,1,43,2.30%,Yes
SUFU,,10q24.32,HOMDEL,1,57,1.80%,Yes
H3F3C,,12p11.21,AMP,1,43,2.30%,Yes
CYLD,,16q12.1,HOMDEL,1,42,2.40%,Yes
KDM5A,,12p13.33,HOMDEL,1,52,1.90%,Yes
EGFL7,,9q34.3,HOMDEL,1,43,2.30%,Yes
HIST2H3D,,1q21.2,AMP,1,40,2.50%,Yes
CD79A,,19q13.2,AMP,1,42,2.40%,Yes
ALK,,2p23.2-p23.1,AMP,1,58,1.70%,Yes
BMPR1A,,10q23.2,HOMDEL,1,56,1.80%,Yes
JAK3,,19p13.11,AMP,1,58,1.70%,Yes
RAF1,,3p25.2,AMP,1,58,1.70%,Yes
CBFB,,16q22.1,HOMDEL,1,52,1.90%,Yes
KDM5C,,Xp11.22,HOMDEL,1,56,1.80%,Yes
ADGRA2,,8p11.23,AMP,1,1,100.00%,Yes
NF1,,17q11.2,HOMDEL,4,58,6.90%,Yes
ZNF703,,8p11.23,AMP,1,1,100.00%,Yes
PIK3R2,,19p13.11,AMP,1,45,2.20%,Yes
