Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
RPTOR,,17q25.3,HOMDEL,1,245,0.40%,Yes
BCL11B,,14q32.2,AMP,1,41,2.40%,Yes
CYSLTR2,,13q14.2,HOMDEL,8,144,5.60%,Yes
TSC2,,16p13.3,HOMDEL,3,284,1.10%,Yes
NTRK3,,15q25.3,AMP,2,284,0.70%,Yes
ATM,,11q22.3,HOMDEL,1,284,0.40%,Yes
TP53,,17p13.1,HOMDEL,54,284,19.00%,Yes
RET,,10q11.21,HOMDEL,2,284,0.70%,Yes
BABAM1,,19p13.11,AMP,1,171,0.60%,Yes
DNAJB1,,19p13.12,AMP,2,187,1.10%,Yes
TAP2,,6p21.32,AMP,1,144,0.70%,Yes
ALOX12B,,17p13.1,HOMDEL,1,252,0.40%,Yes
FGF19,,11q13.3,AMP,2,220,0.90%,Yes
FLT4,,5q35.3,HOMDEL,1,278,0.40%,Yes
SHQ1,,3p13,HOMDEL,1,205,0.50%,Yes
TGFBR2,,3p24.1,HOMDEL,1,221,0.50%,Yes
PMAIP1,,18q21.32,AMP,1,205,0.50%,Yes
IKZF1,,7p12.2,AMP,1,282,0.40%,Yes
CIC,,19q13.2,AMP,2,248,0.80%,Yes
GRIN2A,,16p13.2,HOMDEL,1,217,0.50%,Yes
ERRFI1,,1p36.23,HOMDEL,1,189,0.50%,Yes
B2M,,15q21.1,AMP,1,277,0.40%,Yes
SOX9,,17q24.3,AMP,2,268,0.70%,Yes
CCND2,,12p13.32,AMP,3,284,1.10%,Yes
CDKN1A,,6p21.2,AMP,1,271,0.40%,Yes
FLT1,,13q12.3,AMP,1,282,0.40%,Yes
IKBKE,,1q32.1,HOMDEL,1,218,0.50%,Yes
HLA-B,,6p21.33,AMP,1,145,0.70%,Yes
CRLF2,,Xp22.33 and Yp11.2,HOMDEL,1,281,0.40%,Yes
FGF3,,11q13.3,AMP,2,220,0.90%,Yes
CDKN2B,,9p21.3,HOMDEL,41,281,14.60%,Yes
ETV1,,7p21.2,AMP,4,281,1.40%,Yes
MYC,,8q24.21,HOMDEL,1,284,0.40%,Yes
RRAS,,19q13.33,HOMDEL,1,144,0.70%,Yes
GSTM5,,1p13.3,HOMDEL,1,34,2.90%,No
BLM,,15q26.1,AMP,2,278,0.70%,Yes
BCOR,,Xp11.4,AMP,2,282,0.70%,Yes
HLA-A,,6p22.1,AMP,2,199,1.00%,Yes
SMYD3,,1q44,HOMDEL,2,144,1.40%,Yes
PREX2,,8q13.2,AMP,2,145,1.40%,Yes
PRKAR1A,,17q24.2,HOMDEL,1,279,0.40%,Yes
ARID2,,12q12,HOMDEL,1,278,0.40%,Yes
PIK3R3,,1p34.1,AMP,1,205,0.50%,Yes
MAX,,14q23.3,HOMDEL,2,234,0.90%,Yes
CCND3,,6p21.1,AMP,4,284,1.40%,Yes
TMEM127,,2q11.2,AMP,1,232,0.40%,Yes
PRKD1,,14q12,AMP,1,144,0.70%,Yes
PTPN11,,12q24.13,AMP,1,281,0.40%,Yes
CDK8,,13q12.13,AMP,1,248,0.40%,Yes
CRKL,,22q11.21,AMP,3,282,1.10%,Yes
CDKN2C,,1p32.3,HOMDEL,1,279,0.40%,Yes
CREBBP,,16p13.3,AMP,1,284,0.40%,Yes
RAD51B,,14q24.1,AMP,1,220,0.50%,Yes
RHOA,,3p21.31,HOMDEL,2,245,0.80%,Yes
AXL,,19q13.2,AMP,3,284,1.10%,Yes
PTEN,,10q23.31,HOMDEL,9,284,3.20%,Yes
ATRX,,Xq21.1,AMP,2,281,0.70%,Yes
CDK12,,17q12,HOMDEL,1,247,0.40%,Yes
FGF10,,5p12,AMP,1,13,7.70%,Yes
HIST1H1C,,6p22.2,AMP,1,216,0.50%,Yes
AKT1,,14q32.33,AMP,3,284,1.10%,Yes
IL7R,,5p13.2,AMP,5,244,2.00%,Yes
PDCD1,,2q37.3,HOMDEL,7,220,3.20%,Yes
CDK6,,7q21.2,AMP,2,284,0.70%,Yes
CCNE1,,19q12,AMP,8,284,2.80%,Yes
AKT3,,1q43-q44,HOMDEL,1,284,0.40%,Yes
NRAS,,1p13.2,AMP,1,284,0.40%,Yes
HIST1H2BD,,6p22.2,AMP,1,205,0.50%,Yes
MED12,,Xq13.1,AMP,2,247,0.80%,Yes
YES1,,18p11.32,AMP,1,205,0.50%,Yes
AKT2,,19q13.2,AMP,2,284,0.70%,Yes
EIF4A2,,3q27.3,HOMDEL,1,190,0.50%,Yes
PPARG,,3p25.2,AMP,2,175,1.10%,Yes
SDHD,,11q23.1,HOMDEL,1,279,0.40%,Yes
TERT,,5p15.33,HOMDEL,2,268,0.70%,Yes
CD274,,9p24.1,HOMDEL,1,282,0.40%,Yes
CENPA,,2p23.3,AMP,1,187,0.50%,Yes
RAD51B,,14q24.1,HOMDEL,2,220,0.90%,Yes
IGF2,,11p15.5,HOMDEL,2,244,0.80%,Yes
ETV6,,12p13.2,AMP,3,282,1.10%,Yes
PTCH1,,9q22.32,HOMDEL,1,284,0.40%,Yes
HIST2H3C,,1q21.2,AMP,2,187,1.10%,Yes
XPO1,,2p15,AMP,1,281,0.40%,Yes
XIAP,,Xq25,HOMDEL,1,205,0.50%,Yes
RAD52,,12p13.33,AMP,3,245,1.20%,Yes
MAPK1,,22q11.22,HOMDEL,1,280,0.40%,Yes
SPEN,,1p36.21-p36.13,AMP,1,218,0.50%,Yes
IDH1,,2q34,HOMDEL,2,281,0.70%,Yes
CDKN2C,,1p32.3,AMP,1,279,0.40%,Yes
KDR,,4q12,AMP,4,284,1.40%,Yes
PPP2R1A,,19q13.41,HOMDEL,2,247,0.80%,Yes
H3F3C,,12p11.21,AMP,2,205,1.00%,Yes
BTK,,Xq22.1,HOMDEL,2,223,0.90%,Yes
EGFL7,,9q34.3,HOMDEL,1,205,0.50%,Yes
CD79A,,19q13.2,AMP,2,203,1.00%,Yes
HIST3H3,,1q42.13,AMP,1,187,0.50%,Yes
RAF1,,3p25.2,AMP,2,284,0.70%,Yes
PNRC1,,6q15,HOMDEL,1,251,0.40%,Yes
NF1,,17q11.2,HOMDEL,11,284,3.90%,Yes
MALT1,,18q21.32,AMP,1,201,0.50%,Yes
ERRFI1,,1p36.23,AMP,1,189,0.50%,Yes
COP1,,1q25.1-q25.2,AMP,1,239,0.40%,Yes
INPPL1,,11q13.4,AMP,1,144,0.70%,Yes
AKT2,,19q13.2,HOMDEL,1,284,0.40%,Yes
TERT,,5p15.33,AMP,5,268,1.90%,Yes
INHBA,,7p14.1,AMP,2,199,1.00%,Yes
SRC,,20q11.23,HOMDEL,1,257,0.40%,Yes
IDH2,,15q26.1,AMP,2,281,0.70%,Yes
GNAQ,,9q21.2,AMP,1,281,0.40%,Yes
KMT2D,,12q13.12,HOMDEL,1,279,0.40%,Yes
FUBP1,,1p31.1,AMP,3,207,1.40%,Yes
FYN,,6q21,AMP,1,187,0.50%,Yes
SMAD2,,18q21.1,HOMDEL,1,282,0.40%,Yes
HGF,,7q21.11,AMP,2,221,0.90%,Yes
IKBKE,,1q32.1,AMP,1,218,0.50%,Yes
MDM4,,1q32.1,AMP,1,281,0.40%,Yes
MEF2B,,19p13.11,AMP,1,279,0.40%,Yes
NOTCH1,,9q34.3,HOMDEL,1,284,0.40%,Yes
RB1,,13q14.2,AMP,1,284,0.40%,Yes
MCL1,,1q21.2,AMP,6,282,2.10%,Yes
CHEK2,,22q12.1,HOMDEL,1,281,0.40%,Yes
CASP8,,2q33.1,HOMDEL,1,245,0.40%,Yes
KDM6B,,17p13.1,AMP,1,34,2.90%,No
HIST1H3B,,6p22.2,AMP,1,245,0.40%,Yes
PMS2,,7p22.1,AMP,5,284,1.80%,Yes
MYBL1,,8q13.1,AMP,1,61,1.60%,No
TCF3,,19p13.3,AMP,1,262,0.40%,Yes
PAK5,,20p12.2,HOMDEL,3,217,1.40%,Yes
NPM1,,5q35.1,AMP,1,282,0.40%,Yes
AXL,,19q13.2,HOMDEL,1,284,0.40%,Yes
CDK4,,12q14.1,AMP,5,284,1.80%,Yes
MDM2,,12q15,AMP,10,284,3.50%,Yes
MDC1,,6p21.33,AMP,1,205,0.50%,Yes
BBC3,,19q13.32,HOMDEL,1,205,0.50%,Yes
CTCF,,16q22.1,HOMDEL,1,245,0.40%,Yes
AXIN2,,17q24.1,AMP,1,232,0.40%,Yes
TRAF2,,9q34.3,HOMDEL,1,201,0.50%,Yes
ATRX,,Xq21.1,HOMDEL,8,281,2.80%,Yes
YAP1,,11q22.1,AMP,3,232,1.30%,Yes
HRAS,,11p15.5,HOMDEL,1,281,0.40%,Yes
SDHA,,5p15.33,AMP,6,267,2.20%,Yes
FBXW7,,4q31.3,HOMDEL,1,284,0.40%,Yes
RXRA,,9q34.2,AMP,1,144,0.70%,Yes
RB1,,13q14.2,HOMDEL,41,284,14.40%,Yes
PHOX2B,,4p13,HOMDEL,1,266,0.40%,Yes
VTCN1,,1p13.1-p12,AMP,1,205,0.50%,Yes
KDM5A,,12p13.33,AMP,3,248,1.20%,Yes
RECQL4,,8q24.3,AMP,1,254,0.40%,Yes
PAK1,,11q13.5-q14.1,AMP,3,205,1.50%,Yes
SOCS1,,16p13.13,AMP,3,279,1.10%,Yes
PDCD1LG2,,9p24.1,HOMDEL,1,221,0.50%,Yes
PIK3C2G,,12p12.3,AMP,3,218,1.40%,Yes
U2AF1,,21q22.3,HOMDEL,1,281,0.40%,Yes
NOTCH4,,6p21.32,AMP,1,217,0.50%,Yes
PRKDC,,8q11.21,AMP,1,73,1.40%,Yes
BRD4,,19p13.12,AMP,2,279,0.70%,Yes
EZH2,,7q36.1,HOMDEL,1,281,0.40%,Yes
AXIN1,,16p13.3,AMP,1,218,0.50%,Yes
FAF1,,1p32.3,HOMDEL,1,11,9.10%,Yes
DIS3,,13q21.33,HOMDEL,2,279,0.70%,Yes
AURKA,,20q13.2,AMP,1,282,0.40%,Yes
TNFAIP3,,6q23.3,AMP,2,279,0.70%,Yes
TSC2,,16p13.3,AMP,1,284,0.40%,Yes
PRDM1,,6q21,AMP,1,282,0.40%,Yes
CDKN2A,,9p21.3,HOMDEL,49,284,17.30%,Yes
PDGFRA,,4q12,AMP,7,284,2.50%,Yes
HIST1H2BC,,6p22.2,HOMDEL,1,11,9.10%,Yes
PIK3C3,,18q12.3,AMP,1,217,0.50%,Yes
FLT4,,5q35.3,AMP,1,278,0.40%,Yes
NOTCH3,,19p13.12,AMP,2,247,0.80%,Yes
HIST3H3,,1q42.13,HOMDEL,1,187,0.50%,Yes
INHA,,2q35,HOMDEL,1,187,0.50%,Yes
SMARCA4,,19p13.2,AMP,2,281,0.70%,Yes
IRS1,,2q36.3,AMP,1,205,0.50%,Yes
NOTCH2,,1p12,AMP,3,284,1.10%,Yes
EPHB1,,3q22.2,HOMDEL,2,218,0.90%,Yes
TSHR,,14q31.1,HOMDEL,1,244,0.40%,Yes
PPP4R2,,3p13,HOMDEL,1,144,0.70%,Yes
RPTOR,,17q25.3,AMP,1,245,0.40%,Yes
CARD11,,7p22.2,HOMDEL,1,279,0.40%,Yes
HIST1H2AM,,6p22.1,HOMDEL,1,11,9.10%,Yes
AXIN2,,17q24.1,HOMDEL,1,232,0.40%,Yes
INSR,,19p13.2,AMP,2,209,1.00%,Yes
INPP4A,,2q11.2,AMP,1,205,0.50%,Yes
BAP1,,3p21.1,AMP,1,284,0.40%,Yes
RIT1,,1q22,AMP,6,232,2.60%,Yes
CALR,,19p13.13,AMP,4,215,1.90%,Yes
CCNQ,,Xq28,AMP,1,144,0.70%,Yes
SMARCB1,,22q11.23|22q11,AMP,1,284,0.40%,Yes
CDKN1B,,12p13.1,AMP,3,284,1.10%,Yes
TEK,,9p21.2,HOMDEL,2,146,1.40%,Yes
FLT3,,13q12.2,AMP,1,284,0.40%,Yes
TNFRSF14,,1p36.32,HOMDEL,2,218,0.90%,Yes
KMT2B,,19q13.12,AMP,1,144,0.70%,Yes
HIST1H2BO,,6p22.1,HOMDEL,1,11,9.10%,Yes
DOT1L,,19p13.3,HOMDEL,2,218,0.90%,Yes
MAPK1,,22q11.22,AMP,2,280,0.70%,Yes
FGF4,,11q13.3,AMP,2,218,0.90%,Yes
ID3,,1p36.12,HOMDEL,2,260,0.80%,Yes
FLCN,,17p11.2,AMP,7,279,2.50%,Yes
B2M,,15q21.1,HOMDEL,2,277,0.70%,Yes
NOTCH1,,9q34.3,AMP,1,284,0.40%,Yes
KDM5A,,12p13.33,HOMDEL,1,248,0.40%,Yes
NCOR1,,17p12-p11.2,AMP,8,217,3.70%,Yes
IFNGR1,,6q23.3,AMP,1,205,0.50%,Yes
TAP1,,6p21.32,AMP,1,144,0.70%,Yes
VEGFA,,6p21.1,AMP,5,230,2.20%,Yes
PDGFRB,,5q32,AMP,1,284,0.40%,Yes
BAP1,,3p21.1,HOMDEL,2,284,0.70%,Yes
FOXP1,,3p13,AMP,1,220,0.50%,Yes
EGFL7,,9q34.3,AMP,1,205,0.50%,Yes
JAK2,,9p24.1,AMP,5,284,1.80%,Yes
PHOX2B,,4p13,AMP,1,266,0.40%,Yes
STK11,,19p13.3,HOMDEL,4,284,1.40%,Yes
RAC1,,7p22.1,AMP,5,236,2.10%,Yes
UPF1,,19p13.11,AMP,1,144,0.70%,Yes
GATA3,,10p14,HOMDEL,4,279,1.40%,Yes
ERCC5,,13q33.1,AMP,1,266,0.40%,Yes
FGFR4,,5q35.2,HOMDEL,1,284,0.40%,Yes
CDKN1B,,12p13.1,HOMDEL,8,284,2.80%,Yes
IRS1,,2q36.3,HOMDEL,1,205,0.50%,Yes
ASXL2,,2p23.3,AMP,1,205,0.50%,Yes
SOX9,,17q24.3,HOMDEL,1,268,0.40%,Yes
KDM5C,,Xp11.22,AMP,5,267,1.90%,Yes
HIST1H3D,,6p22.2,AMP,1,187,0.50%,Yes
SH2D1A,,Xq25,HOMDEL,1,232,0.40%,Yes
SHOC2,,10q25.2,AMP,1,144,0.70%,Yes
SF3B1,,2q33.1,HOMDEL,1,281,0.40%,Yes
JAK1,,1p31.3,AMP,6,250,2.40%,Yes
ELOC,,8q21.11,AMP,2,214,0.90%,Yes
RAD21,,8q24.11,HOMDEL,1,260,0.40%,Yes
PRAME,,22q11.22,AMP,1,34,2.90%,No
ELF3,,1q32.1,AMP,1,144,0.70%,Yes
RECQL,,12p12.1,AMP,1,144,0.70%,Yes
EPHA7,,6q16.1,HOMDEL,1,236,0.40%,Yes
SDHC,,1q23.3,AMP,7,279,2.50%,Yes
ARID1B,,6q25.3,HOMDEL,1,270,0.40%,Yes
HIST1H3A,,6p22.2,AMP,1,187,0.50%,Yes
ERCC2,,19q13.32,HOMDEL,2,280,0.70%,Yes
MITF,,3p13,HOMDEL,2,282,0.70%,Yes
HIST1H2AC,,6p22.2,HOMDEL,1,11,9.10%,Yes
NTRK1,,1q23.1,AMP,7,284,2.50%,Yes
ETV6,,12p13.2,HOMDEL,1,282,0.40%,Yes
MITF,,3p13,AMP,1,282,0.40%,Yes
AURKB,,17p13.1,AMP,2,282,0.70%,Yes
PPP2R1A,,19q13.41,AMP,1,247,0.40%,Yes
REL,,2p16.1,AMP,1,279,0.40%,Yes
EP300,,22q13.2,HOMDEL,2,282,0.70%,Yes
ERCC3,,2q14.3,AMP,3,266,1.10%,Yes
PIK3CG,,7q22.3,HOMDEL,1,217,0.50%,Yes
HIST1H3E,,6p22.2,AMP,1,187,0.50%,Yes
NTHL1,,16p13.3,AMP,1,171,0.60%,Yes
KMT2A,,11q23.3,AMP,1,282,0.40%,Yes
SOX17,,8q11.23,AMP,3,205,1.50%,Yes
LYN,,8q12.1,AMP,2,146,1.40%,Yes
RPS6KB2,,11q13.2,AMP,1,205,0.50%,Yes
SMARCB1,,22q11.23|22q11,HOMDEL,1,284,0.40%,Yes
EPHA5,,4q13.1-q13.2,HOMDEL,3,251,1.20%,Yes
POLE,,12q24.33,HOMDEL,1,236,0.40%,Yes
ERCC4,,16p13.12,AMP,1,268,0.40%,Yes
GLI1,,12q13.3,AMP,1,252,0.40%,Yes
MYC,,8q24.21,AMP,3,284,1.10%,Yes
GREM1,,15q13.3,HOMDEL,1,233,0.40%,Yes
SHQ1,,3p13,AMP,1,205,0.50%,Yes
AXIN1,,16p13.3,HOMDEL,1,218,0.50%,Yes
HIST1H3B,,6p22.2,HOMDEL,1,245,0.40%,Yes
HIST1H3C,,6p22.2,AMP,1,214,0.50%,Yes
CUL3,,2q36.2,HOMDEL,1,207,0.50%,Yes
RTEL1,,20q13.33,HOMDEL,1,144,0.70%,Yes
PIM1,,6p21.2,AMP,1,281,0.40%,Yes
JUN,,1p32.1,AMP,10,218,4.60%,Yes
GSK3B,,3q13.33,HOMDEL,2,218,0.90%,Yes
TSHR,,14q31.1,AMP,1,244,0.40%,Yes
GATA1,,Xp11.23,AMP,1,217,0.50%,Yes
GNA11,,19p13.3,HOMDEL,1,281,0.40%,Yes
PTPRD,,9p24.1-p23,HOMDEL,4,228,1.80%,Yes
HIST1H3G,,6p22.2,AMP,1,187,0.50%,Yes
NSD3,,8p11.23,AMP,3,175,1.70%,Yes
EWSR1,,22q12.2,HOMDEL,1,77,1.30%,Yes
TRAF7,,16p13.3,AMP,1,232,0.40%,Yes
KRAS,,12p12.1,AMP,4,284,1.40%,Yes
SMAD4,,18q21.2,AMP,1,284,0.40%,Yes
TP53,,17p13.1,AMP,1,284,0.40%,Yes
SDHA,,5p15.33,HOMDEL,2,267,0.70%,Yes
PLCG2,,16q23.3,HOMDEL,1,199,0.50%,Yes
ERBB4,,2q34,HOMDEL,2,281,0.70%,Yes
HIST1H3I,,6p22.1,AMP,1,187,0.50%,Yes
PBRM1,,3p21.1,HOMDEL,2,267,0.70%,Yes
FOXP1,,3p13,HOMDEL,2,220,0.90%,Yes
NSD1,,5q35.3,AMP,1,247,0.40%,Yes
DNMT1,,19p13.2,AMP,1,205,0.50%,Yes
CD79B,,17q23.3,HOMDEL,1,282,0.40%,Yes
TRAF7,,16p13.3,HOMDEL,1,232,0.40%,Yes
GATA2,,3q21.3,HOMDEL,2,246,0.80%,Yes
HIST1H1C,,6p22.2,HOMDEL,1,216,0.50%,Yes
IRS2,,13q34,AMP,3,218,1.40%,Yes
GNAS,,20q13.32,AMP,1,281,0.40%,Yes
TBX3,,12q24.21,AMP,1,218,0.50%,Yes
HIST1H3H,,6p22.1,AMP,1,187,0.50%,Yes
RICTOR,,5p13.1,AMP,7,247,2.80%,Yes
DDR2,,1q23.3,AMP,4,281,1.40%,Yes
NKX3-1,,8p21.2,AMP,1,232,0.40%,Yes
YES1,,18p11.32,HOMDEL,1,205,0.50%,Yes
E2F3,,6p22.3,AMP,1,205,0.50%,Yes
ICOSLG,,21q22.3,AMP,1,205,0.50%,Yes
MGA,,15q15.1,HOMDEL,1,214,0.50%,Yes
RYBP,,3p13,AMP,1,205,0.50%,Yes
POLD1,,19q13.33,HOMDEL,1,216,0.50%,Yes
DICER1,,14q32.13,AMP,1,267,0.40%,Yes
SMAD2,,18q21.1,AMP,2,282,0.70%,Yes
HIST2H3D,,1q21.2,AMP,2,187,1.10%,Yes
CSF1R,,5q32,AMP,1,245,0.40%,Yes
CD274,,9p24.1,AMP,5,282,1.80%,Yes
DROSHA,,5p13.3,AMP,3,144,2.10%,Yes
CBFB,,16q22.1,HOMDEL,1,248,0.40%,Yes
SLX4,,16p13.3,AMP,1,173,0.60%,Yes
PIK3R2,,19p13.11,AMP,1,220,0.50%,Yes
HIST1H3J,,6p22.1,AMP,1,187,0.50%,Yes
SDHAF2,,11q12.2,AMP,1,266,0.40%,Yes
BARD1,,2q35,AMP,1,245,0.40%,Yes
