Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
GPA33	1	1	920	0.1%	No
PLEKHM1	1	1	920	0.1%	No
DIS3	3	3	742	0.4%	Yes
RFTN1	1	1	920	0.1%	No
XIAP	1	1	531	0.2%	Yes
TTC23	1	1	920	0.1%	No
FUS	3	3	208	1.4%	Yes
SLC2A13	1	1	920	0.1%	No
HS3ST3A1	1	1	920	0.1%	No
LIFR	1	1	76	1.3%	Yes
RABGAP1	1	1	920	0.1%	No
FUBP1	2	2	625	0.3%	Yes
PPM1B	1	1	920	0.1%	No
WWTR1	1	1	361	0.3%	Yes
MITF	4	4	793	0.5%	Yes
NCOR2	1	1	14	7.1%	Yes
MIR-4444-1/4444	3	3	920	0.3%	No
RGPD2	1	1	920	0.1%	No
BHLHE22	1	1	920	0.1%	No
TRABD2A	1	1	920	0.1%	No
KMT2D	2	2	756	0.3%	Yes
TRIM13	1	1	8	12.5%	No
CRTC2	1	1	54	1.9%	No
ZFHX3	3	3	545	0.6%	Yes
VHL	1	1	911	0.1%	Yes
CDK12	1	1	739	0.1%	Yes
RASA1	1	1	676	0.1%	Yes
GAB2	1	1	62	1.6%	Yes
PTPRS	2	2	531	0.4%	Yes
NSD3	1	1	452	0.2%	Yes
RB1	4	4	920	0.4%	Yes
