Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
U2AF2		1	1	177	0.6%	Yes
TMEM30A		2	2	77	2.6%	Yes
HABP2		14	14	660	2.1%	No
FANCE		8	8	1479	0.5%	Yes
FOXL2		11	11	3646	0.3%	Yes
STAT5B		8	7	2430	0.3%	Yes
AKT3		20	20	4153	0.5%	Yes
STAT5A		4	4	2337	0.2%	Yes
STAT6		18	17	1491	1.1%	Yes
PHF6		1	1	1481	<0.1%	Yes
AURKA		15	15	4035	0.4%	Yes
TSHZ2		4	4	216	1.9%	No
STK11		18	18	4507	0.4%	Yes
FAT1		158	132	3408	3.9%	Yes
KAT6B		23	22	722	3.0%	Yes
SIN3A		1	1	217	0.5%	No
EGFL7		7	7	2507	0.3%	Yes
BRCA1		46	44	4110	1.1%	Yes
BRAF		47	46	4512	1.0%	Yes
BRCA2		104	97	4108	2.4%	Yes
FANCG		21	21	1521	1.4%	Yes
CCT6B		2	2	77	2.6%	Yes
EED		15	14	2949	0.5%	Yes
HIST1H3F		5	4	2254	0.2%	Yes
KEAP1		26	24	3946	0.6%	Yes
RPS6KA4		19	18	2507	0.7%	Yes
PRAME		6	6	411	1.5%	No
LRP1B		32	27	363	7.4%	Yes
LEF1		3	3	328	0.9%	Yes
AKT1		14	14	4511	0.3%	Yes
PPARG		17	17	2607	0.7%	Yes
KDM6A		45	38	4005	0.9%	Yes
AKT2		13	13	4149	0.3%	Yes
ERRFI1		3	3	2491	0.1%	Yes
PALB2		39	36	4087	0.9%	Yes
MARK1		1	1	58	1.7%	No
SETD2		111	104	4046	2.6%	Yes
PGR		11	9	2285	0.4%	Yes
VEGFA		3	3	3263	<0.1%	Yes
DIS3		34	32	3888	0.8%	Yes
BTK		18	18	2957	0.6%	Yes
PPP4R2		3	3	1747	0.2%	Yes
MAX		4	4	3214	0.1%	Yes
PIK3R3		11	10	2507	0.4%	Yes
GNA13		1	1	419	0.2%	Yes
NAV3		8	8	217	3.7%	No
EZR		3	3	113	2.7%	Yes
WWTR1		6	5	1753	0.3%	Yes
NCOR2		4	2	89	2.2%	Yes
TNFRSF14		4	4	2934	0.1%	Yes
NCOR1		30	27	2824	1.0%	Yes
HFE		2	2	660	0.3%	No
SUZ12		27	26	3731	0.7%	Yes
ZFHX3		53	46	2470	1.9%	Yes
VHL		20	19	4464	0.4%	Yes
GAB2		2	2	217	0.9%	Yes
HGF		20	19	2925	0.6%	Yes
MCM3		3	3	89	3.4%	No
GEN1		12	12	685	1.8%	No
MCM4		2	2	89	2.2%	No
MCM5		3	3	89	3.4%	No
SMARCA2		2	2	217	0.9%	Yes
DIS3L2		8	7	661	1.1%	No
MCM6		1	1	89	1.1%	No
MCM7		4	4	89	4.5%	No
SERPINA1		5	5	660	0.8%	No
SMARCA4		57	52	4046	1.3%	Yes
SMARCB1		55	47	4500	1.0%	Yes
NRG1		4	4	680	0.6%	Yes
MCL1		16	16	4042	0.4%	Yes
ATM		141	129	4495	2.9%	Yes
MCM2		5	4	89	4.5%	No
DOT1L		27	25	2896	0.9%	Yes
ALK		65	61	4505	1.4%	Yes
MAML2		5	5	279	1.8%	Yes
BCL2L12		17	17	1285	1.3%	No
HIF1A		3	3	312	1.0%	Yes
PIGA		1	1	108	0.9%	Yes
WAS		5	5	810	0.6%	Yes
TOPBP1		13	13	748	1.7%	No
PICALM		1	1	137	0.7%	Yes
RPL5		1	1	94	1.1%	Yes
ALOX12B		12	9	3008	0.3%	Yes
APOBEC3G		1	1	216	0.5%	No
CARD11		50	45	4011	1.1%	Yes
KDM2B		2	2	80	2.5%	Yes
RPA1		3	3	773	0.4%	No
SNCAIP		2	2	238	0.8%	Yes
ADAMTS20		1	1	58	1.7%	No
MDM4		15	15	4053	0.4%	Yes
IKBKE		9	9	2935	0.3%	Yes
TNFRSF11A		2	2	111	1.8%	Yes
PIK3C2B		32	29	1136	2.6%	Yes
BAP1		20	19	4084	0.5%	Yes
PIK3C2G		21	17	2598	0.7%	Yes
RPL10		2	2	305	0.7%	Yes
PIK3C3		5	5	2601	0.2%	Yes
NSD2		27	27	2846	0.9%	Yes
AXIN1		22	21	2877	0.7%	Yes
RECQL4		65	60	3524	1.7%	Yes
AXIN2		30	30	3394	0.9%	Yes
PNKP		10	10	660	1.5%	No
MGA		63	61	3136	1.9%	Yes
KNL1		1	1	63	1.6%	Yes
MDM2		14	11	4084	0.3%	Yes
EDNRB		2	2	216	0.9%	No
NUTM1		5	5	324	1.5%	Yes
SLX4		37	35	2455	1.4%	Yes
PIK3CG		36	34	2940	1.2%	Yes
PIK3R1		26	26	4154	0.6%	Yes
PIK3R2		9	9	2963	0.3%	Yes
MDC1		20	18	2507	0.7%	Yes
PAK1		5	5	2723	0.2%	Yes
SDHA		27	26	3656	0.7%	Yes
PHLPP2		1	1	13	7.7%	No
PIK3CA		186	180	4511	4.0%	Yes
PIK3CB		13	13	2622	0.5%	Yes
PIM1		7	6	3714	0.2%	Yes
PIK3CD		17	15	2602	0.6%	Yes
CDC45		1	1	89	1.1%	No
CDC7		2	2	89	2.2%	No
PAK3		2	2	363	0.6%	Yes
WRN		47	46	1436	3.2%	Yes
RPL26		1	1	411	0.2%	No
TSC1		52	51	4143	1.2%	Yes
RAB35		3	3	2254	0.1%	Yes
TET3		6	6	96	6.3%	Yes
SDHC		7	7	3776	0.2%	Yes
SDHB		11	11	3991	0.3%	Yes
SDHD		5	5	3991	0.1%	Yes
PDE4DIP		1	1	94	1.1%	Yes
TSHR		24	22	3592	0.6%	Yes
TEK		10	10	1756	0.6%	Yes
PAX3		3	3	310	1.0%	Yes
TERT		269	253	3929	6.4%	Yes
PAX5		21	21	4046	0.5%	Yes
SPEN		41	37	2894	1.3%	Yes
LATS2		17	16	2507	0.6%	Yes
PRKN		21	21	3813	0.6%	Yes
WT1		19	19	4046	0.5%	Yes
TSC2		90	85	4143	2.1%	Yes
TRAF7		30	28	3399	0.8%	Yes
HIST1H3I		2	2	2254	<0.1%	Yes
HIST1H3G		6	6	2261	0.3%	Yes
QKI		6	6	976	0.6%	Yes
HIST1H3C		4	4	2914	0.1%	Yes
HIST1H3E		3	3	2254	0.1%	Yes
HIST1H3B		7	7	3577	0.2%	Yes
NOD1		2	2	77	2.6%	Yes
HIST1H3J		2	2	2254	<0.1%	Yes
ZMYM3		4	4	296	1.4%	Yes
HIST1H3H		5	5	2254	0.2%	Yes
NUP93		8	8	2575	0.3%	Yes
DEPDC5		3	3	296	1.0%	No
HIST1H3D		1	1	2254	<0.1%	Yes
HEY1		1	1	253	0.4%	Yes
TENT5C		10	10	3963	0.3%	Yes
TRIM28		1	1	216	0.5%	No
EGFR		44	39	4511	0.9%	Yes
AURKB		12	12	4035	0.3%	Yes
DCLRE1C		8	8	660	1.2%	No
BRD4		49	48	3946	1.2%	Yes
PC		3	3	77	3.9%	Yes
PCBP1		1	1	84	1.2%	Yes
TFE3		2	2	1057	0.2%	Yes
EIF1AX		8	8	2724	0.3%	Yes
SLC25A13		4	4	660	0.6%	No
EPHA2		2	1	230	0.4%	No
SBDS		5	5	1284	0.4%	Yes
RPS6KB2		7	7	2507	0.3%	Yes
TGFBR1		10	10	2538	0.4%	Yes
TGFBR2		13	11	2966	0.4%	Yes
NPRL3		3	3	296	1.0%	No
RHOT1		4	4	660	0.6%	No
EIF4A2		5	5	2290	0.2%	Yes
PREX2		31	30	1987	1.5%	Yes
GID4		1	1	108	0.9%	Yes
SESN1		3	2	1747	0.1%	Yes
BRIP1		22	22	4010	0.5%	Yes
DKC1		7	7	724	1.0%	No
EIF4E		3	3	2254	0.1%	Yes
TYK2		5	5	339	1.5%	Yes
RRAS2		2	2	1963	0.1%	Yes
IKZF3		2	2	742	0.3%	Yes
TAF15		8	8	137	5.8%	Yes
IKZF2		1	1	293	0.3%	Yes
FRS2		1	1	300	0.3%	Yes
FBXW7		41	37	4508	0.8%	Yes
FAAP100		11	11	660	1.7%	No
ZBTB20		2	2	217	0.9%	Yes
DMD		9	9	411	2.2%	No
ELANE		8	8	662	1.2%	No
LCK		1	1	101	1.0%	Yes
ELF3		3	3	1963	0.2%	Yes
ARID1B		111	104	3906	2.7%	Yes
CUX1		30	28	1372	2.0%	Yes
ITK		11	10	784	1.3%	Yes
RNF8		6	6	660	0.9%	No
NKX2-1		19	19	4035	0.5%	Yes
DYNC1I1		4	4	216	1.9%	No
PCLO		13	12	80	15.0%	Yes
GATA3		23	23	4008	0.6%	Yes
KDM4C		1	1	111	0.9%	Yes
GATA2		11	11	3634	0.3%	Yes
JAK1		37	34	3681	0.9%	Yes
GATA1		8	8	2945	0.3%	Yes
JAK2		34	34	4492	0.8%	Yes
JAK3		35	34	4503	0.8%	Yes
UIMC1		10	10	660	1.5%	No
GBA		8	8	660	1.2%	No
GATA6		14	14	1091	1.3%	Yes
GATA4		7	7	1091	0.6%	Yes
TLR4		7	6	568	1.1%	No
TLL2		3	3	77	3.9%	Yes
TLR2		2	2	6	33.3%	No
DNMT3B		10	10	2507	0.4%	Yes
ARHGAP26		1	1	116	0.9%	Yes
DNMT3A		44	41	4053	1.0%	Yes
LRIG3		2	2	94	2.1%	Yes
DNMT1		15	15	2521	0.6%	Yes
KIF1B		14	14	660	2.1%	No
DNM2		4	3	174	1.7%	Yes
GPS2		5	5	2259	0.2%	Yes
CYLD		15	14	3196	0.4%	Yes
RSPO3		2	2	888	0.2%	Yes
NUF2		5	5	1747	0.3%	Yes
RALGDS		1	1	94	1.1%	Yes
JUN		1	1	2719	<0.1%	Yes
LIG4		16	16	660	2.4%	No
KLF6		4	1	146	0.7%	Yes
EME1		4	4	660	0.6%	No
SESN3		6	6	1747	0.3%	Yes
LIFR		4	4	278	1.4%	Yes
NKX3-1		4	4	3166	0.1%	Yes
RARA		28	27	4035	0.7%	Yes
PRDM16		1	1	54	1.9%	Yes
PRDM14		7	7	1747	0.4%	Yes
S1PR2		2	2	77	2.6%	Yes
KDM5A		42	40	3496	1.1%	Yes
FAT3		9	7	299	2.3%	No
GRID1		2	2	89	2.2%	No
GREM1		7	7	3185	0.2%	Yes
RTEL1		13	13	1755	0.7%	Yes
CDK12		33	32	3642	0.9%	Yes
RASA1		28	28	3382	0.8%	Yes
RASA2		2	2	229	0.9%	No
RB1		224	214	4507	4.7%	Yes
MYO18A		1	1	77	1.3%	Yes
MAP3K6		2	2	77	2.6%	Yes
CNOT3		5	4	310	1.3%	Yes
RHBDF2		8	7	660	1.1%	No
MYC		17	15	4097	0.4%	Yes
FLCN		22	22	3994	0.6%	Yes
RBBP8		15	15	660	2.3%	No
MYB		7	7	1445	0.5%	Yes
MYBL1		18	18	1298	1.4%	No
RBL2		10	9	411	2.2%	No
ASH2L		1	1	217	0.5%	No
CHD2		11	10	300	3.3%	Yes
EP400		1	1	65	1.5%	Yes
CHD1		3	3	217	1.4%	No
FANCI		19	18	803	2.2%	No
KCNJ5		2	2	94	2.1%	Yes
NOTCH1		149	126	4509	2.8%	Yes
MYCL		12	11	3996	0.3%	Yes
NOTCH2		88	78	3922	2.0%	Yes
NOTCH3		87	83	3535	2.3%	Yes
MYCN		20	20	4086	0.5%	Yes
NOTCH4		42	35	2718	1.3%	Yes
MYD88		15	14	4058	0.3%	Yes
CHD4		2	2	236	0.8%	Yes
PAXIP1		8	8	660	1.2%	No
NT5C2		10	10	1058	0.9%	Yes
HELQ		9	9	660	1.4%	No
ANKRD11		25	25	2254	1.1%	Yes
STK40		3	3	2507	0.1%	Yes
PSMD13		3	3	411	0.7%	No
USP28		10	10	660	1.5%	No
CD274		7	7	3980	0.2%	Yes
CHEK1		11	11	3643	0.3%	Yes
VTCN1		3	3	2507	0.1%	Yes
CD22		2	2	113	1.8%	Yes
NEIL2		3	3	660	0.5%	No
MYH9		1	1	310	0.3%	Yes
NPM1		8	8	4443	0.2%	Yes
KDR		75	71	4495	1.6%	Yes
RELA		4	4	888	0.5%	No
IKBKB		1	1	58	1.7%	Yes
USP6		9	7	138	5.1%	Yes
PDCD11		2	2	77	2.6%	Yes
NEIL1		4	4	660	0.6%	No
NEGR1		10	10	2549	0.4%	Yes
PTEN		100	92	4510	2.0%	Yes
HSPA2		5	1	216	0.5%	No
PLK2		8	8	2507	0.3%	Yes
BUB1B		23	22	1220	1.8%	Yes
KCNQ1		10	10	660	1.5%	No
RECQL		5	5	1747	0.3%	Yes
REL		14	14	3945	0.4%	Yes
CD36		4	4	77	5.2%	Yes
HSPA5		1	1	216	0.5%	No
PTCH1		76	71	4084	1.7%	Yes
KMT2C		65	56	2760	2.0%	Yes
NRAS		62	60	4512	1.3%	Yes
CREB1		1	1	279	0.4%	Yes
HSP90AA1		6	3	169	1.8%	Yes
STAG3		2	2	89	2.2%	No
GALNT12		8	8	667	1.2%	No
STAG2		51	51	3964	1.3%	Yes
YY1AP1		2	2	77	2.6%	Yes
FBXO11		6	5	177	2.8%	Yes
NEIL3		8	6	660	0.9%	No
DROSHA		16	16	1748	0.9%	Yes
UPF1		8	8	1747	0.5%	Yes
AGO2		6	6	1747	0.3%	Yes
RET		38	38	4511	0.8%	Yes
KIAA1549		8	7	106	6.6%	No
IL6ST		3	3	152	2.0%	Yes
ASXL2		24	24	2731	0.9%	Yes
ELP2		1	1	77	1.3%	Yes
DCUN1D1		2	2	2509	<0.1%	Yes
HSP90AB1		1	1	305	0.3%	Yes
RNF213		4	2	94	2.1%	Yes
CREBBP		94	86	4084	2.1%	Yes
MTOR		68	65	4116	1.6%	Yes
CD58		3	3	585	0.5%	Yes
MYOD1		18	18	2565	0.7%	Yes
PTK2		2	2	411	0.5%	No
SYK		19	14	3318	0.4%	Yes
FGF6		4	4	331	1.2%	Yes
SMO		34	34	4466	0.8%	Yes
FGF4		5	5	2901	0.2%	Yes
FGF3		7	7	2943	0.2%	Yes
DNAJB1		3	3	2482	0.1%	Yes
CD79A		7	6	2752	0.2%	Yes
PNRC1		5	3	3006	<0.1%	Yes
CD79B		10	10	4042	0.2%	Yes
IL7R		28	27	3592	0.8%	Yes
NAB2		2	2	4512	<0.1%	Yes
SMARCD1		4	4	2596	0.2%	Yes
SMARCE1		4	4	754	0.5%	Yes
PPP2R1A		12	12	3693	0.3%	Yes
PTPN1		4	4	312	1.3%	Yes
MSI1		3	3	1747	0.2%	Yes
NBN		23	23	3994	0.6%	Yes
ENG		10	10	660	1.5%	No
FGFR4		62	54	4154	1.3%	Yes
FGFR2		34	32	4511	0.7%	Yes
FGFR3		54	52	4505	1.2%	Yes
FGFR1		44	44	4505	1.0%	Yes
HLA-B		7	6	1753	0.3%	Yes
HLA-A		6	5	2343	0.2%	Yes
FANCM		16	16	754	2.1%	No
IL10		3	3	2507	0.1%	Yes
TFEB		1	1	234	0.4%	Yes
MSH2		44	43	4088	1.1%	Yes
MSH3		16	16	2048	0.8%	Yes
POLQ		32	31	875	3.5%	Yes
PTPN11		27	26	4466	0.6%	Yes
PTPN14		11	10	660	1.5%	No
EPAS1		4	4	1747	0.2%	Yes
EP300		105	100	4042	2.5%	Yes
FHIT		1	1	82	1.2%	Yes
FH		15	15	3863	0.4%	Yes
BTLA		1	1	77	1.3%	Yes
IPMK		2	2	217	0.9%	No
KLHL6		4	4	412	1.0%	Yes
CDC42		1	1	1963	<0.1%	Yes
CDH1		24	24	4458	0.5%	Yes
PPP6C		4	4	2475	0.2%	Yes
BORCS8-MEF2B		11	11	4512	0.2%	No
MEF2C		1	1	111	0.9%	Yes
PRF1		20	20	1163	1.7%	Yes
MEN1		29	27	4035	0.7%	Yes
INPP4B		19	19	2942	0.6%	Yes
SOX17		12	12	2507	0.5%	Yes
MAP3K7		2	2	372	0.5%	Yes
NSD1		53	48	3478	1.4%	Yes
PTPRK		3	3	217	1.4%	Yes
EPHA7		34	28	3050	0.9%	Yes
COP1		17	17	2917	0.6%	Yes
EPHA5		53	50	3303	1.5%	Yes
EPHA3		50	45	3345	1.3%	Yes
ARID5B		12	10	2730	0.4%	Yes
SF3B1		29	28	4061	0.7%	Yes
MAP3K1		48	46	4021	1.1%	Yes
PTPRB		6	6	217	2.8%	Yes
AKAP9		1	1	63	1.6%	No
PTPRC		5	5	125	4.0%	Yes
PTPRD		60	50	3082	1.6%	Yes
MAP3K5		4	4	217	1.8%	No
CDCA5		1	1	89	1.1%	No
EMSY		7	7	355	2.0%	Yes
TAP1		3	3	1747	0.2%	Yes
RYBP		2	2	2507	<0.1%	Yes
TAP2		8	7	1747	0.4%	Yes
NFKBIZ		4	4	1070	0.4%	No
MET		43	43	4501	1.0%	Yes
SOS1		14	12	2622	0.5%	Yes
HMBS		11	11	660	1.7%	No
EPHB1		28	26	2935	0.9%	Yes
CACNA1E		1	1	6	16.7%	No
TAL2		3	3	696	0.4%	Yes
PRPF8		9	9	501	1.8%	No
PKHD1		2	2	59	3.4%	No
TAL1		4	4	754	0.5%	Yes
RAD50		28	27	3633	0.7%	Yes
CHEK2		30	29	4053	0.7%	Yes
SLITRK6		6	6	511	1.2%	No
PRKAR1A		10	10	4003	0.2%	Yes
SOX10		2	2	323	0.6%	Yes
KAT6A		34	32	1140	2.8%	Yes
SOX9		22	22	3813	0.6%	Yes
MST1R		10	10	2274	0.4%	Yes
ERCC1		5	5	975	0.5%	No
ERBB4		90	81	4461	1.8%	Yes
ERBB3		56	56	4124	1.4%	Yes
ERBB2		49	49	4505	1.1%	Yes
CRLF2		5	5	3779	0.1%	Yes
ATR		60	57	3674	1.6%	Yes
ATRX		292	275	4046	6.8%	Yes
EPOR		2	2	313	0.6%	Yes
PLAG1		6	5	398	1.3%	Yes
PRKACA		1	1	229	0.4%	Yes
SOS2		3	3	217	1.4%	No
MAP2K4		10	10	4099	0.2%	Yes
KLF2		4	4	660	0.6%	Yes
SOX2		15	15	4004	0.4%	Yes
XPA		7	6	1220	0.5%	Yes
ASXL1		61	58	4045	1.4%	Yes
XPC		15	15	1220	1.2%	Yes
CCN6		1	1	322	0.3%	Yes
DICER1		98	81	3918	2.1%	Yes
PRKCH		1	1	216	0.5%	No
PRKCI		13	13	2837	0.5%	Yes
ESPL1		4	4	216	1.9%	No
XRCC5		7	7	660	1.1%	No
PRKD1		6	6	1759	0.3%	Yes
ZNF217		20	20	1393	1.4%	Yes
ERG		15	14	3633	0.4%	Yes
ERF		9	9	1747	0.5%	Yes
ERCC6		27	26	660	3.9%	No
TET2		73	69	4022	1.7%	Yes
ERCC5		31	29	3638	0.8%	Yes
CAD		1	1	77	1.3%	Yes
ERCC4		21	21	3646	0.6%	Yes
LAMB4		6	6	89	6.7%	No
ERCC3		15	15	3638	0.4%	Yes
ERCC2		32	32	3986	0.8%	Yes
ID3		8	7	3720	0.2%	Yes
AXL		39	33	4076	0.8%	Yes
LMO1		1	1	3714	<0.1%	Yes
XPO1		26	26	4045	0.6%	Yes
MAFB		3	3	817	0.4%	Yes
LMO2		4	4	1106	0.4%	Yes
PLCG2		19	19	2349	0.8%	Yes
SRSF2		9	7	3724	0.2%	Yes
XRCC2		5	5	2985	0.2%	Yes
XRCC1		8	8	672	1.2%	No
XRCC4		4	4	660	0.6%	No
XRCC3		3	3	742	0.4%	No
PRKDC		83	74	1432	5.2%	Yes
CIITA		23	21	1277	1.6%	Yes
NIPBL		12	11	305	3.6%	No
MAPK1		4	4	4021	<0.1%	Yes
MAPK3		4	4	2261	0.2%	Yes
BCORL1		43	41	1546	2.7%	Yes
PRKCZ		4	3	411	0.7%	No
APC		137	116	4435	2.6%	Yes
B2M		12	11	3724	0.3%	Yes
FOXA1		16	16	3404	0.5%	Yes
TMEM127		4	4	3167	0.1%	Yes
ARID2		58	50	4001	1.2%	Yes
YES1		4	4	2507	0.2%	Yes
PCM1		2	2	37	5.4%	Yes
STK19		5	5	1747	0.3%	Yes
FGF19		1	1	2943	<0.1%	Yes
PMAIP1		1	1	2507	<0.1%	Yes
