Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ALOX12B		8	8	2411	0.3%	Yes
APOBEC3G		1	1	154	0.6%	No
CARD11		46	41	3226	1.3%	Yes
KDM2B		2	2	66	3.0%	Yes
RPA1		1	1	670	0.1%	No
SNCAIP		1	1	172	0.6%	Yes
ADAMTS20		1	1	44	2.3%	No
MDM4		12	12	3259	0.4%	Yes
IKBKE		7	7	2287	0.3%	Yes
TNFRSF11A		1	1	89	1.1%	Yes
PIK3C2B		30	27	984	2.7%	Yes
BAP1		19	18	3282	0.5%	Yes
PIK3C2G		17	13	2055	0.6%	Yes
RPL10		2	2	235	0.9%	Yes
PIK3C3		4	4	2058	0.2%	Yes
NSD2		24	24	2279	1.1%	Yes
AXIN1		17	17	2241	0.8%	Yes
RECQL4		59	54	2852	1.9%	Yes
AXIN2		24	24	2715	0.9%	Yes
PNKP		10	10	577	1.7%	No
MGA		55	53	2508	2.1%	Yes
KNL1		1	1	49	2.0%	Yes
MDM2		13	10	3282	0.3%	Yes
EDNRB		1	1	154	0.6%	No
NUTM1		5	5	251	2.0%	Yes
SLX4		29	27	2002	1.3%	Yes
PIK3CG		32	30	2292	1.3%	Yes
PIK3R1		25	25	3337	0.7%	Yes
PIK3R2		8	8	2308	0.3%	Yes
MDC1		15	13	1976	0.7%	Yes
PAK1		3	3	2130	0.1%	Yes
SDHA		24	23	2944	0.8%	Yes
PHLPP2		1	1	11	9.1%	No
PIK3CA		165	160	3591	4.5%	Yes
PIK3CB		9	9	2067	0.4%	Yes
PIM1		6	5	2993	0.2%	Yes
PIK3CD		13	13	2049	0.6%	Yes
CDC45		1	1	81	1.2%	No
CDC7		1	1	81	1.2%	No
PAK3		2	2	274	0.7%	Yes
WRN		42	41	1215	3.4%	Yes
RPL26		1	1	357	0.3%	No
TSC1		42	41	3327	1.2%	Yes
RAB35		2	2	1771	0.1%	Yes
TET3		5	5	88	5.7%	Yes
SDHC		7	7	3054	0.2%	Yes
SDHB		8	8	3207	0.2%	Yes
SDHD		4	4	3207	0.1%	Yes
PDE4DIP		1	1	72	1.4%	Yes
TSHR		21	19	2862	0.7%	Yes
TEK		8	8	1394	0.6%	Yes
PAX3		1	1	226	0.4%	Yes
TERT		235	220	3159	7.0%	Yes
PAX5		19	19	3253	0.6%	Yes
SPEN		31	29	2258	1.3%	Yes
LATS2		13	12	1976	0.6%	Yes
PRKN		15	15	3079	0.5%	Yes
WT1		17	17	3253	0.5%	Yes
TSC2		76	72	3327	2.2%	Yes
TRAF7		30	28	2720	1.0%	Yes
HIST1H3I		1	1	1771	<0.1%	Yes
HIST1H3G		4	4	1778	0.2%	Yes
QKI		6	6	845	0.7%	Yes
HIST1H3C		4	4	2348	0.2%	Yes
HIST1H3E		3	3	1771	0.2%	Yes
HIST1H3B		7	7	2849	0.2%	Yes
NOD1		2	2	63	3.2%	Yes
HIST1H3J		2	2	1771	0.1%	Yes
ZMYM3		3	3	220	1.4%	Yes
HIST1H3H		4	4	1771	0.2%	Yes
NUP93		5	5	2015	0.2%	Yes
DEPDC5		3	3	252	1.2%	No
HIST1H3D		1	1	1771	<0.1%	Yes
HEY1		1	1	183	0.5%	Yes
TENT5C		9	9	3190	0.3%	Yes
TRIM28		1	1	154	0.6%	No
EGFR		37	33	3591	0.9%	Yes
AURKB		10	10	3242	0.3%	Yes
DCLRE1C		6	6	577	1.0%	No
BRD4		43	42	3173	1.3%	Yes
PC		1	1	63	1.6%	Yes
PCBP1		1	1	70	1.4%	Yes
TFE3		2	2	882	0.2%	Yes
EIF1AX		8	8	2131	0.4%	Yes
SLC25A13		3	3	577	0.5%	No
EPHA2		2	1	165	0.6%	No
SBDS		5	5	1114	0.4%	Yes
RPS6KB2		7	7	1976	0.4%	Yes
TGFBR1		9	9	1999	0.5%	Yes
TGFBR2		11	10	2310	0.4%	Yes
NPRL3		3	3	252	1.2%	No
RHOT1		4	4	577	0.7%	No
EIF4A2		5	5	1799	0.3%	Yes
PREX2		25	24	1560	1.5%	Yes
GID4		1	1	93	1.1%	Yes
SESN1		3	2	1386	0.1%	Yes
BRIP1		18	18	3226	0.6%	Yes
DKC1		6	6	630	1.0%	No
EIF4E		3	3	1771	0.2%	Yes
TYK2		5	5	255	2.0%	Yes
RRAS2		2	2	1540	0.1%	Yes
IKZF3		1	1	604	0.2%	Yes
TAF15		6	6	118	5.1%	Yes
IKZF2		1	1	217	0.5%	Yes
FRS2		1	1	223	0.4%	Yes
FBXW7		36	32	3588	0.9%	Yes
FAAP100		8	8	577	1.4%	No
ZBTB20		2	2	155	1.3%	Yes
DMD		9	9	357	2.5%	No
ELANE		8	8	579	1.4%	No
LCK		1	1	79	1.3%	Yes
ELF3		3	3	1540	0.2%	Yes
ARID1B		92	86	3136	2.7%	Yes
CUX1		24	22	1159	1.9%	Yes
ITK		10	9	685	1.3%	Yes
RNF8		6	6	577	1.0%	No
NKX2-1		18	18	3242	0.6%	Yes
DYNC1I1		3	3	154	1.9%	No
PCLO		11	10	66	15.2%	Yes
GATA3		17	17	3223	0.5%	Yes
KDM4C		1	1	89	1.1%	Yes
GATA2		9	9	2895	0.3%	Yes
JAK1		34	31	2932	1.1%	Yes
GATA1		7	7	2296	0.3%	Yes
JAK2		28	28	3574	0.8%	Yes
JAK3		34	33	3584	0.9%	Yes
UIMC1		9	9	577	1.6%	No
GBA		6	6	577	1.0%	No
GATA6		13	13	950	1.4%	Yes
GATA4		7	7	950	0.7%	Yes
TLR4		6	5	448	1.1%	No
TLL2		3	3	63	4.8%	Yes
TLR2		2	2	6	33.3%	No
DNMT3B		10	10	1976	0.5%	Yes
ARHGAP26		1	1	94	1.1%	Yes
DNMT3A		37	35	3260	1.1%	Yes
LRIG3		2	2	86	2.3%	Yes
DNMT1		9	9	1987	0.5%	Yes
KIF1B		13	13	577	2.3%	No
DNM2		4	3	152	2.0%	Yes
GPS2		5	5	1776	0.3%	Yes
CYLD		11	10	2613	0.4%	Yes
RSPO3		2	2	740	0.3%	Yes
NUF2		5	5	1386	0.4%	Yes
LIG4		12	12	577	2.1%	No
EME1		4	4	577	0.7%	No
SESN3		6	6	1386	0.4%	Yes
LIFR		3	3	202	1.5%	Yes
NKX3-1		3	3	2552	0.1%	Yes
RARA		23	22	3242	0.7%	Yes
PRDM16		1	1	43	2.3%	Yes
PRDM14		7	7	1386	0.5%	Yes
S1PR2		2	2	63	3.2%	Yes
KDM5A		38	36	2777	1.3%	Yes
FAT3		6	5	225	2.2%	No
GRID1		2	2	81	2.5%	No
GREM1		7	7	2567	0.3%	Yes
RTEL1		9	9	1394	0.6%	Yes
CDK12		28	28	2903	1.0%	Yes
RASA1		27	27	2706	1.0%	Yes
RASA2		1	1	164	0.6%	No
RB1		191	182	3587	5.1%	Yes
MAP3K6		2	2	63	3.2%	Yes
CNOT3		3	2	240	0.8%	Yes
RHBDF2		8	7	577	1.2%	No
MYC		11	11	3294	0.3%	Yes
FLCN		21	21	3210	0.7%	Yes
RBBP8		12	12	577	2.1%	No
MYB		5	5	1195	0.4%	Yes
MYBL1		14	14	1096	1.3%	No
RBL2		9	8	357	2.2%	No
ASH2L		1	1	155	0.6%	No
CHD2		9	8	223	3.6%	Yes
EP400		1	1	51	2.0%	Yes
CHD1		3	3	155	1.9%	No
FANCI		16	15	696	2.2%	No
KCNJ5		1	1	86	1.2%	Yes
NOTCH1		132	113	3589	3.1%	Yes
MYCL		10	9	3230	0.3%	Yes
NOTCH2		80	71	3170	2.2%	Yes
NOTCH3		77	73	2835	2.6%	Yes
MYCN		18	18	3284	0.5%	Yes
NOTCH4		39	32	2147	1.5%	Yes
MYD88		12	11	3265	0.3%	Yes
CHD4		2	2	170	1.2%	Yes
PAXIP1		7	7	577	1.2%	No
NT5C2		8	8	891	0.9%	Yes
HELQ		8	8	577	1.4%	No
ANKRD11		22	22	1771	1.2%	Yes
STK40		3	3	1976	0.2%	Yes
PSMD13		3	3	357	0.8%	No
USP28		9	9	577	1.6%	No
CD274		6	6	3199	0.2%	Yes
CHEK1		10	10	2903	0.3%	Yes
VTCN1		3	3	1976	0.2%	Yes
CD22		2	2	91	2.2%	Yes
NEIL2		3	3	577	0.5%	No
MYH9		1	1	226	0.4%	Yes
NPM1		5	5	3534	0.1%	Yes
KDR		71	67	3576	1.9%	Yes
RELA		2	2	740	0.3%	No
IKBKB		1	1	44	2.3%	Yes
USP6		6	6	119	5.0%	Yes
PDCD11		1	1	63	1.6%	Yes
NEIL1		3	3	577	0.5%	No
NEGR1		9	9	2022	0.4%	Yes
PTEN		90	82	3590	2.3%	Yes
HSPA2		5	1	154	0.6%	No
PLK2		7	7	1976	0.4%	Yes
BUB1B		19	19	1061	1.8%	Yes
KCNQ1		10	10	577	1.7%	No
RECQL		5	5	1386	0.4%	Yes
REL		12	12	3189	0.4%	Yes
CD36		4	4	63	6.3%	Yes
HSPA5		1	1	154	0.6%	No
PTCH1		57	56	3282	1.7%	Yes
KMT2C		60	51	2162	2.4%	Yes
NRAS		61	59	3592	1.6%	Yes
CREB1		1	1	203	0.5%	Yes
HSP90AA1		6	3	134	2.2%	Yes
STAG3		2	2	81	2.5%	No
GALNT12		5	5	583	0.9%	No
STAG2		25	25	3191	0.8%	Yes
FBXO11		4	4	155	2.6%	Yes
NEIL3		5	5	577	0.9%	No
DROSHA		14	14	1387	1.0%	Yes
UPF1		7	7	1386	0.5%	Yes
AGO2		5	5	1386	0.4%	Yes
RET		32	32	3591	0.9%	Yes
KIAA1549		8	7	95	7.4%	No
IL6ST		3	3	130	2.3%	Yes
ASXL2		21	21	2138	1.0%	Yes
ELP2		1	1	63	1.6%	Yes
DCUN1D1		2	2	1978	0.1%	Yes
RNF213		4	2	72	2.8%	Yes
CREBBP		79	71	3283	2.2%	Yes
MTOR		62	59	3308	1.8%	Yes
CD58		3	3	509	0.6%	Yes
MYOD1		17	17	2006	0.8%	Yes
PTK2		2	2	357	0.6%	No
SYK		16	11	2637	0.4%	Yes
FGF6		4	4	254	1.6%	Yes
SMO		30	30	3555	0.8%	Yes
FGF4		5	5	2265	0.2%	Yes
FGF3		7	7	2298	0.3%	Yes
DNAJB1		3	3	1934	0.2%	Yes
CD79A		5	5	2164	0.2%	Yes
PNRC1		3	2	2409	<0.1%	Yes
CD79B		10	10	3249	0.3%	Yes
IL7R		24	23	2862	0.8%	Yes
NAB2		2	2	3592	<0.1%	Yes
SMARCD1		3	3	2053	0.1%	Yes
SMARCE1		4	4	663	0.6%	Yes
PPP2R1A		8	8	2940	0.3%	Yes
PTPN1		4	4	242	1.7%	Yes
MSI1		3	3	1386	0.2%	Yes
NBN		19	19	3229	0.6%	Yes
ENG		9	9	577	1.6%	No
FGFR4		59	51	3338	1.5%	Yes
FGFR2		30	28	3591	0.8%	Yes
FGFR3		43	41	3586	1.1%	Yes
FGFR1		35	35	3586	1.0%	Yes
HLA-B		6	5	1391	0.4%	Yes
HLA-A		5	4	1848	0.2%	Yes
FANCM		15	15	656	2.3%	No
IL10		3	3	1976	0.2%	Yes
TFEB		1	1	169	0.6%	Yes
MSH2		38	37	3285	1.1%	Yes
MSH3		15	15	1611	0.9%	Yes
POLQ		28	27	730	3.7%	Yes
PTPN11		26	25	3555	0.7%	Yes
PTPN14		10	9	577	1.6%	No
EPAS1		3	3	1386	0.2%	Yes
EP300		84	81	3250	2.5%	Yes
FHIT		1	1	68	1.5%	Yes
FH		12	12	3118	0.4%	Yes
BTLA		1	1	63	1.6%	Yes
IPMK		2	2	155	1.3%	No
KLHL6		3	3	327	0.9%	Yes
CDC42		1	1	1540	<0.1%	Yes
CDH1		19	19	3548	0.5%	Yes
PPP6C		4	4	1930	0.2%	Yes
BORCS8-MEF2B		11	11	3592	0.3%	No
MEF2C		1	1	89	1.1%	Yes
PRF1		18	18	1018	1.8%	Yes
MEN1		26	24	3242	0.7%	Yes
INPP4B		15	15	2292	0.7%	Yes
SOX17		7	7	1976	0.4%	Yes
MAP3K7		1	1	277	0.4%	Yes
NSD1		49	44	2776	1.6%	Yes
PTPRK		2	2	155	1.3%	Yes
EPHA7		32	26	2416	1.1%	Yes
COP1		13	13	2332	0.6%	Yes
EPHA5		46	43	2612	1.6%	Yes
EPHA3		49	44	2643	1.7%	Yes
ARID5B		9	7	2137	0.3%	Yes
SF3B1		22	21	3267	0.6%	Yes
MAP3K1		40	39	3234	1.2%	Yes
PTPRB		5	5	155	3.2%	Yes
AKAP9		1	1	49	2.0%	No
PTPRC		4	4	109	3.7%	Yes
PTPRD		55	46	2429	1.9%	Yes
MAP3K5		2	2	155	1.3%	No
CDCA5		1	1	81	1.2%	No
EMSY		5	5	270	1.9%	Yes
TAP1		3	3	1386	0.2%	Yes
RYBP		1	1	1976	<0.1%	Yes
TAP2		8	7	1386	0.5%	Yes
NFKBIZ		4	4	933	0.4%	No
MET		33	33	3581	0.9%	Yes
SOS1		13	11	2116	0.5%	Yes
HMBS		6	6	577	1.0%	No
EPHB1		23	21	2287	0.9%	Yes
CACNA1E		1	1	6	16.7%	No
TAL2		3	3	605	0.5%	Yes
PRPF8		7	7	439	1.6%	No
PKHD1		2	2	44	4.5%	No
TAL1		4	4	649	0.6%	Yes
RAD50		25	24	2894	0.8%	Yes
CHEK2		25	24	3259	0.7%	Yes
SLITRK6		6	6	405	1.5%	No
PRKAR1A		7	7	3219	0.2%	Yes
SOX10		1	1	245	0.4%	Yes
KAT6A		32	30	953	3.1%	Yes
SOX9		19	19	3079	0.6%	Yes
MST1R		10	10	1787	0.6%	Yes
ERCC1		5	5	808	0.6%	No
ERBB4		77	68	3551	1.9%	Yes
ERBB3		49	49	3315	1.5%	Yes
ERBB2		44	44	3586	1.2%	Yes
CRLF2		4	4	3059	0.1%	Yes
ATR		52	50	2926	1.7%	Yes
ATRX		252	237	3253	7.3%	Yes
EPOR		2	2	232	0.9%	Yes
PLAG1		4	4	306	1.3%	Yes
PRKACA		1	1	164	0.6%	Yes
SOS2		3	3	155	1.9%	No
MAP2K4		10	10	3291	0.3%	Yes
KLF2		4	4	577	0.7%	Yes
SOX2		12	12	3219	0.4%	Yes
XPA		4	4	1061	0.4%	Yes
ASXL1		52	49	3253	1.5%	Yes
XPC		15	15	1061	1.4%	Yes
CCN6		1	1	245	0.4%	Yes
DICER1		83	68	3145	2.2%	Yes
PRKCH		1	1	154	0.6%	No
PRKCI		12	12	2335	0.5%	Yes
ESPL1		3	3	154	1.9%	No
XRCC5		6	6	577	1.0%	No
PRKD1		4	4	1395	0.3%	Yes
ZNF217		16	16	1179	1.4%	Yes
ERG		11	11	2894	0.4%	Yes
ERF		3	3	1386	0.2%	Yes
ERCC6		23	22	577	3.8%	No
TET2		69	65	3237	2.0%	Yes
ERCC5		27	25	2956	0.8%	Yes
CAD		1	1	63	1.6%	Yes
ERCC4		18	18	2963	0.6%	Yes
LAMB4		6	6	81	7.4%	No
ERCC3		12	12	2956	0.4%	Yes
ERCC2		27	27	3220	0.8%	Yes
ID3		5	5	3016	0.2%	Yes
AXL		29	28	3275	0.9%	Yes
LMO1		1	1	3023	<0.1%	Yes
XPO1		21	21	3252	0.6%	Yes
MAFB		3	3	701	0.4%	Yes
LMO2		3	3	961	0.3%	Yes
PLCG2		16	16	1851	0.9%	Yes
SRSF2		7	5	3020	0.2%	Yes
XRCC2		3	3	2404	0.1%	Yes
XRCC1		8	8	586	1.4%	No
XRCC4		4	4	577	0.7%	No
XRCC3		2	2	647	0.3%	No
PRKDC		73	65	1206	5.4%	Yes
CIITA		18	16	1110	1.4%	Yes
NIPBL		10	9	235	3.8%	No
MAPK1		4	4	3229	0.1%	Yes
MAPK3		3	3	1778	0.2%	Yes
BCORL1		39	38	1296	2.9%	Yes
PRKCZ		3	2	357	0.6%	No
APC		102	95	3532	2.7%	Yes
B2M		11	10	3014	0.3%	Yes
FOXA1		12	12	2725	0.4%	Yes
TMEM127		3	3	2553	0.1%	Yes
ARID2		50	42	3217	1.3%	Yes
YES1		3	3	1976	0.2%	Yes
PCM1		2	2	29	6.9%	Yes
STK19		5	5	1386	0.4%	Yes
FGF19		1	1	2298	<0.1%	Yes
PMAIP1		1	1	1976	<0.1%	Yes
ESR1		17	17	3300	0.5%	Yes
DOCK8		27	25	577	4.3%	No
CBLC		1	1	86	1.2%	Yes
BIRC3		10	10	1908	0.5%	Yes
XIAP		1	1	1976	<0.1%	Yes
SF1		8	7	439	1.6%	No
TP63		18	15	2097	0.7%	Yes
KNSTRN		1	1	1573	<0.1%	Yes
PML		13	13	728	1.8%	Yes
FUBP1		5	5	2181	0.2%	Yes
MITF		17	17	3242	0.5%	Yes
PDCD1		5	5	2104	0.2%	Yes
MKI67		3	3	86	3.5%	Yes
PMS1		20	20	3110	0.6%	Yes
